diesel_generator_capacity,grid_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-desalination_capacity,ProbabilityWeight-diesel_generator_capacity,prefix,ProbabilityWeight,PointProbability
60.0,-1e+200,-3.71,-7.02,-720.0,-371396105.812,0.0,-371396105.812,-371396105.812,-371396105.812,-371396105.812,-371396105.812,2.0,0.0,0.125,0.0909090909091,1,0.0113636363636,2.10437710438e-06
180.0,-1e+200,-3.71,-7.02,-720.0,-458320363.746,0.0,-458320363.746,-458320363.746,-458320363.746,-458320363.746,-458320363.746,2.0,0.0,0.125,0.227272727273,2,0.0284090909091,2.10437710438e-06
360.0,-1e+200,-3.71,-7.02,-720.0,-588706750.648,0.0,-588706750.648,-588706750.648,-588706750.648,-588706750.648,-588706750.648,2.0,0.0,0.125,0.272727272727,3,0.0340909090909,2.10437710438e-06
540.0,-1e+200,-3.71,-7.02,-720.0,-719093137.55,0.0,-719093137.55,-719093137.55,-719093137.55,-719093137.55,-719093137.55,2.0,0.0,0.125,0.272727272727,4,0.0340909090909,2.10437710438e-06
720.0,-1e+200,-3.71,-7.02,-720.0,-849479524.451,0.0,-849479524.451,-849479524.451,-849479524.451,-849479524.451,-849479524.451,2.0,0.0,0.125,0.136363636364,5,0.0170454545455,2.10437710438e-06
60.0,-1e+200,-3.71,-7.02,-540.0,-366631558.185,0.0,-366631558.185,-366631558.185,-366631558.185,-366631558.185,-366631558.185,2.0,0.0,0.25,0.0909090909091,6,0.0227272727273,2.10437710438e-06
180.0,-1e+200,-3.71,-7.02,-540.0,-453555816.119,0.0,-453555816.119,-453555816.119,-453555816.119,-453555816.119,-453555816.119,2.0,0.0,0.25,0.227272727273,7,0.0568181818182,2.10437710438e-06
360.0,-1e+200,-3.71,-7.02,-540.0,-583942203.021,0.0,-583942203.021,-583942203.021,-583942203.021,-583942203.021,-583942203.021,2.0,0.0,0.25,0.272727272727,8,0.0681818181818,2.10437710438e-06
540.0,-1e+200,-3.71,-7.02,-540.0,-714328589.923,0.0,-714328589.923,-714328589.923,-714328589.923,-714328589.923,-714328589.923,2.0,0.0,0.25,0.272727272727,9,0.0681818181818,2.10437710438e-06
720.0,-1e+200,-3.71,-7.02,-540.0,-844714976.825,0.0,-844714976.825,-844714976.825,-844714976.825,-844714976.825,-844714976.825,2.0,0.0,0.25,0.136363636364,10,0.0340909090909,2.10437710438e-06
60.0,-1e+200,-3.71,-7.02,-360.0,-360902409.97,0.0,-360902409.97,-360902409.97,-360902409.97,-360902409.97,-360902409.97,2.0,0.0,0.25,0.0909090909091,11,0.0227272727273,2.10437710438e-06
180.0,-1e+200,-3.71,-7.02,-360.0,-447826667.905,0.0,-447826667.905,-447826667.905,-447826667.905,-447826667.905,-447826667.905,2.0,0.0,0.25,0.227272727273,12,0.0568181818182,2.10437710438e-06
360.0,-1e+200,-3.71,-7.02,-360.0,-578213054.806,0.0,-578213054.806,-578213054.806,-578213054.806,-578213054.806,-578213054.806,2.0,0.0,0.25,0.272727272727,13,0.0681818181818,2.10437710438e-06
540.0,-1e+200,-3.71,-7.02,-360.0,-708599441.708,0.0,-708599441.708,-708599441.708,-708599441.708,-708599441.708,-708599441.708,2.0,0.0,0.25,0.272727272727,14,0.0681818181818,2.10437710438e-06
720.0,-1e+200,-3.71,-7.02,-360.0,-838985828.61,0.0,-838985828.61,-838985828.61,-838985828.61,-838985828.61,-838985828.61,2.0,0.0,0.25,0.136363636364,15,0.0340909090909,2.10437710438e-06
60.0,-1e+200,-3.71,-7.02,-180.0,-353275019.093,0.0,-353275019.093,-353275019.093,-353275019.093,-353275019.093,-353275019.093,2.0,0.0,0.25,0.0909090909091,16,0.0227272727273,2.10437710438e-06
180.0,-1e+200,-3.71,-7.02,-180.0,-440199277.027,0.0,-440199277.027,-440199277.027,-440199277.027,-440199277.027,-440199277.027,2.0,0.0,0.25,0.227272727273,17,0.0568181818182,2.10437710438e-06
360.0,-1e+200,-3.71,-7.02,-180.0,-570585663.929,0.0,-570585663.929,-570585663.929,-570585663.929,-570585663.929,-570585663.929,2.0,0.0,0.25,0.272727272727,18,0.0681818181818,2.10437710438e-06
540.0,-1e+200,-3.71,-7.02,-180.0,-700972050.831,0.0,-700972050.831,-700972050.831,-700972050.831,-700972050.831,-700972050.831,2.0,0.0,0.25,0.272727272727,19,0.0681818181818,2.10437710438e-06
720.0,-1e+200,-3.71,-7.02,-180.0,-831358437.733,0.0,-831358437.733,-831358437.733,-831358437.733,-831358437.733,-831358437.733,2.0,0.0,0.25,0.136363636364,20,0.0340909090909,2.10437710438e-06
60.0,-1e+200,-3.71,-7.02,0.0,-332956547.374,0.0,-332956547.374,-332956547.374,-332956547.374,-332956547.374,-332956547.374,2.0,0.0,0.125,0.0909090909091,21,0.0113636363636,2.10437710438e-06
180.0,-1e+200,-3.71,-7.02,0.0,-419880805.308,0.0,-419880805.308,-419880805.308,-419880805.308,-419880805.308,-419880805.308,2.0,0.0,0.125,0.227272727273,22,0.0284090909091,2.10437710438e-06
360.0,-1e+200,-3.71,-7.02,0.0,-550267192.21,0.0,-550267192.21,-550267192.21,-550267192.21,-550267192.21,-550267192.21,2.0,0.0,0.125,0.272727272727,23,0.0340909090909,2.10437710438e-06
540.0,-1e+200,-3.71,-7.02,0.0,-680653579.112,0.0,-680653579.112,-680653579.112,-680653579.112,-680653579.112,-680653579.112,2.0,0.0,0.125,0.272727272727,24,0.0340909090909,2.10437710438e-06
720.0,-1e+200,-3.71,-7.02,0.0,-811039966.013,0.0,-811039966.013,-811039966.013,-811039966.013,-811039966.013,-811039966.013,2.0,0.0,0.125,0.136363636364,25,0.0170454545455,2.10437710438e-06
