smr_capacity,solar_capacity,grid_capacity,industry_demand_thermal_capacity,industry_demand_electricity_capacity,desalination_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-solar_capacity,prefix,ProbabilityWeight-smr_capacity,ProbabilityWeight,ProbabilityWeight-desalination_capacity,PointProbability
60.0,60.0,-1e+200,-3.71,-7.02,-720.0,-477637565.857,nan,-477637565.857,-477637565.857,-477637565.857,-477637565.857,-477637565.857,1.0,nan,0.0909090909091,1,0.0909090909091,0.00103305785124,0.125,3.18845015815e-09
60.0,180.0,-1e+200,-3.71,-7.02,-720.0,-584902125.891,nan,-584902125.891,-584902125.891,-584902125.891,-584902125.891,-584902125.891,1.0,nan,0.227272727273,2,0.0909090909091,0.0025826446281,0.125,3.18845015815e-09
60.0,360.0,-1e+200,-3.71,-7.02,-720.0,-746221602.802,nan,-746221602.802,-746221602.802,-746221602.802,-746221602.802,-746221602.802,1.0,nan,0.272727272727,3,0.0909090909091,0.00309917355372,0.125,3.18845015815e-09
60.0,540.0,-1e+200,-3.71,-7.02,-720.0,-906882839.339,nan,-906882839.339,-906882839.339,-906882839.339,-906882839.339,-906882839.339,1.0,nan,0.272727272727,4,0.0909090909091,0.00309917355372,0.125,3.18845015815e-09
60.0,720.0,-1e+200,-3.71,-7.02,-720.0,-1067859967.63,nan,-1067859967.63,-1067859967.63,-1067859967.63,-1067859967.63,-1067859967.63,1.0,nan,0.136363636364,5,0.0909090909091,0.00154958677686,0.125,3.18845015815e-09
180.0,60.0,-1e+200,-3.71,-7.02,-720.0,-1217233956.2,nan,-1217233956.2,-1217233956.2,-1217233956.2,-1217233956.2,-1217233956.2,1.0,nan,0.0909090909091,6,0.227272727273,0.0025826446281,0.125,3.18845015815e-09
180.0,180.0,-1e+200,-3.71,-7.02,-720.0,-1324554078.58,nan,-1324554078.58,-1324554078.58,-1324554078.58,-1324554078.58,-1324554078.58,1.0,nan,0.227272727273,7,0.227272727273,0.00645661157025,0.125,3.18845015815e-09
180.0,360.0,-1e+200,-3.71,-7.02,-720.0,-1485304595.05,nan,-1485304595.05,-1485304595.05,-1485304595.05,-1485304595.05,-1485304595.05,1.0,nan,0.272727272727,8,0.227272727273,0.0077479338843,0.125,3.18845015815e-09
180.0,540.0,-1e+200,-3.71,-7.02,-720.0,-1646369242.73,nan,-1646369242.73,-1646369242.73,-1646369242.73,-1646369242.73,-1646369242.73,1.0,nan,0.272727272727,9,0.227272727273,0.0077479338843,0.125,3.18845015815e-09
180.0,720.0,-1e+200,-3.71,-7.02,-720.0,-1807549102.75,nan,-1807549102.75,-1807549102.75,-1807549102.75,-1807549102.75,-1807549102.75,1.0,nan,0.136363636364,10,0.227272727273,0.00387396694215,0.125,3.18845015815e-09
360.0,60.0,-1e+200,-3.71,-7.02,-720.0,-2326757300.65,nan,-2326757300.65,-2326757300.65,-2326757300.65,-2326757300.65,-2326757300.65,1.0,nan,0.0909090909091,11,0.272727272727,0.00309917355372,0.125,3.18845015815e-09
360.0,180.0,-1e+200,-3.71,-7.02,-720.0,-2434016498.26,nan,-2434016498.26,-2434016498.26,-2434016498.26,-2434016498.26,-2434016498.26,1.0,nan,0.227272727273,12,0.272727272727,0.0077479338843,0.125,3.18845015815e-09
360.0,360.0,-1e+200,-3.71,-7.02,-720.0,-2595139037.63,nan,-2595139037.63,-2595139037.63,-2595139037.63,-2595139037.63,-2595139037.63,1.0,nan,0.272727272727,13,0.272727272727,0.00929752066116,0.125,3.18845015815e-09
360.0,540.0,-1e+200,-3.71,-7.02,-720.0,-2755978177.31,nan,-2755978177.31,-2755978177.31,-2755978177.31,-2755978177.31,-2755978177.31,1.0,nan,0.272727272727,14,0.272727272727,0.00929752066116,0.125,3.18845015815e-09
360.0,720.0,-1e+200,-3.71,-7.02,-720.0,-2916652126.34,nan,-2916652126.34,-2916652126.34,-2916652126.34,-2916652126.34,-2916652126.34,1.0,nan,0.136363636364,15,0.272727272727,0.00464876033058,0.125,3.18845015815e-09
540.0,60.0,-1e+200,-3.71,-7.02,-720.0,-3436114669.1,nan,-3436114669.1,-3436114669.1,-3436114669.1,-3436114669.1,-3436114669.1,1.0,nan,0.0909090909091,16,0.272727272727,0.00309917355372,0.125,3.18845015815e-09
540.0,180.0,-1e+200,-3.71,-7.02,-720.0,-3543406420.9,nan,-3543406420.9,-3543406420.9,-3543406420.9,-3543406420.9,-3543406420.9,1.0,nan,0.227272727273,17,0.272727272727,0.0077479338843,0.125,3.18845015815e-09
540.0,360.0,-1e+200,-3.71,-7.02,-720.0,-3704299778.36,nan,-3704299778.36,-3704299778.36,-3704299778.36,-3704299778.36,-3704299778.36,1.0,nan,0.272727272727,18,0.272727272727,0.00929752066116,0.125,3.18845015815e-09
540.0,540.0,-1e+200,-3.71,-7.02,-720.0,-3865008306.73,nan,-3865008306.73,-3865008306.73,-3865008306.73,-3865008306.73,-3865008306.73,1.0,nan,0.272727272727,19,0.272727272727,0.00929752066116,0.125,3.18845015815e-09
540.0,720.0,-1e+200,-3.71,-7.02,-720.0,-4026352980.35,nan,-4026352980.35,-4026352980.35,-4026352980.35,-4026352980.35,-4026352980.35,1.0,nan,0.136363636364,20,0.272727272727,0.00464876033058,0.125,3.18845015815e-09
720.0,60.0,-1e+200,-3.71,-7.02,-720.0,-4545607636.11,nan,-4545607636.11,-4545607636.11,-4545607636.11,-4545607636.11,-4545607636.11,1.0,nan,0.0909090909091,21,0.136363636364,0.00154958677686,0.125,3.18845015815e-09
720.0,180.0,-1e+200,-3.71,-7.02,-720.0,-4652969919.13,nan,-4652969919.13,-4652969919.13,-4652969919.13,-4652969919.13,-4652969919.13,1.0,nan,0.227272727273,22,0.136363636364,0.00387396694215,0.125,3.18845015815e-09
720.0,360.0,-1e+200,-3.71,-7.02,-720.0,-4813639509.08,nan,-4813639509.08,-4813639509.08,-4813639509.08,-4813639509.08,-4813639509.08,1.0,nan,0.272727272727,23,0.136363636364,0.00464876033058,0.125,3.18845015815e-09
720.0,540.0,-1e+200,-3.71,-7.02,-720.0,-4974815798.8,nan,-4974815798.8,-4974815798.8,-4974815798.8,-4974815798.8,-4974815798.8,1.0,nan,0.272727272727,24,0.136363636364,0.00464876033058,0.125,3.18845015815e-09
720.0,720.0,-1e+200,-3.71,-7.02,-720.0,-5135773300.63,nan,-5135773300.63,-5135773300.63,-5135773300.63,-5135773300.63,-5135773300.63,1.0,nan,0.136363636364,25,0.136363636364,0.00232438016529,0.125,3.18845015815e-09
60.0,60.0,-1e+200,-3.71,-7.02,-540.0,-472912856.938,nan,-472912856.938,-472912856.938,-472912856.938,-472912856.938,-472912856.938,1.0,nan,0.0909090909091,26,0.0909090909091,0.00206611570248,0.25,3.18845015815e-09
60.0,180.0,-1e+200,-3.71,-7.02,-540.0,-580222670.866,nan,-580222670.866,-580222670.866,-580222670.866,-580222670.866,-580222670.866,1.0,nan,0.227272727273,27,0.0909090909091,0.0051652892562,0.25,3.18845015815e-09
60.0,360.0,-1e+200,-3.71,-7.02,-540.0,-741077589.664,nan,-741077589.664,-741077589.664,-741077589.664,-741077589.664,-741077589.664,1.0,nan,0.272727272727,28,0.0909090909091,0.00619834710744,0.25,3.18845015815e-09
60.0,540.0,-1e+200,-3.71,-7.02,-540.0,-901815744.972,nan,-901815744.972,-901815744.972,-901815744.972,-901815744.972,-901815744.972,1.0,nan,0.272727272727,29,0.0909090909091,0.00619834710744,0.25,3.18845015815e-09
60.0,720.0,-1e+200,-3.71,-7.02,-540.0,-1062944050.09,nan,-1062944050.09,-1062944050.09,-1062944050.09,-1062944050.09,-1062944050.09,1.0,nan,0.136363636364,30,0.0909090909091,0.00309917355372,0.25,3.18845015815e-09
180.0,60.0,-1e+200,-3.71,-7.02,-540.0,-1212498852.98,nan,-1212498852.98,-1212498852.98,-1212498852.98,-1212498852.98,-1212498852.98,1.0,nan,0.0909090909091,31,0.227272727273,0.0051652892562,0.25,3.18845015815e-09
180.0,180.0,-1e+200,-3.71,-7.02,-540.0,-1319851496.68,nan,-1319851496.68,-1319851496.68,-1319851496.68,-1319851496.68,-1319851496.68,1.0,nan,0.227272727273,32,0.227272727273,0.0129132231405,0.25,3.18845015815e-09
180.0,360.0,-1e+200,-3.71,-7.02,-540.0,-1480791040.45,nan,-1480791040.45,-1480791040.45,-1480791040.45,-1480791040.45,-1480791040.45,1.0,nan,0.272727272727,33,0.227272727273,0.0154958677686,0.25,3.18845015815e-09
180.0,540.0,-1e+200,-3.71,-7.02,-540.0,-1641458324.27,nan,-1641458324.27,-1641458324.27,-1641458324.27,-1641458324.27,-1641458324.27,1.0,nan,0.272727272727,34,0.227272727273,0.0154958677686,0.25,3.18845015815e-09
180.0,720.0,-1e+200,-3.71,-7.02,-540.0,-1802910964.97,nan,-1802910964.97,-1802910964.97,-1802910964.97,-1802910964.97,-1802910964.97,1.0,nan,0.136363636364,35,0.227272727273,0.0077479338843,0.25,3.18845015815e-09
360.0,60.0,-1e+200,-3.71,-7.02,-540.0,-2321951738.68,nan,-2321951738.68,-2321951738.68,-2321951738.68,-2321951738.68,-2321951738.68,1.0,nan,0.0909090909091,36,0.272727272727,0.00619834710744,0.25,3.18845015815e-09
360.0,180.0,-1e+200,-3.71,-7.02,-540.0,-2429281476.77,nan,-2429281476.77,-2429281476.77,-2429281476.77,-2429281476.77,-2429281476.77,1.0,nan,0.227272727273,37,0.272727272727,0.0154958677686,0.25,3.18845015815e-09
360.0,360.0,-1e+200,-3.71,-7.02,-540.0,-2590185179.83,nan,-2590185179.83,-2590185179.83,-2590185179.83,-2590185179.83,-2590185179.83,1.0,nan,0.272727272727,38,0.272727272727,0.0185950413223,0.25,3.18845015815e-09
360.0,540.0,-1e+200,-3.71,-7.02,-540.0,-2751207766.85,nan,-2751207766.85,-2751207766.85,-2751207766.85,-2751207766.85,-2751207766.85,1.0,nan,0.272727272727,39,0.272727272727,0.0185950413223,0.25,3.18845015815e-09
360.0,720.0,-1e+200,-3.71,-7.02,-540.0,-2911794706.27,nan,-2911794706.27,-2911794706.27,-2911794706.27,-2911794706.27,-2911794706.27,1.0,nan,0.136363636364,40,0.272727272727,0.00929752066116,0.25,3.18845015815e-09
540.0,60.0,-1e+200,-3.71,-7.02,-540.0,-3431339681.0,nan,-3431339681.0,-3431339681.0,-3431339681.0,-3431339681.0,-3431339681.0,1.0,nan,0.0909090909091,41,0.272727272727,0.00619834710744,0.25,3.18845015815e-09
540.0,180.0,-1e+200,-3.71,-7.02,-540.0,-3538665568.76,nan,-3538665568.76,-3538665568.76,-3538665568.76,-3538665568.76,-3538665568.76,1.0,nan,0.227272727273,42,0.272727272727,0.0154958677686,0.25,3.18845015815e-09
540.0,360.0,-1e+200,-3.71,-7.02,-540.0,-3699586508.0,nan,-3699586508.0,-3699586508.0,-3699586508.0,-3699586508.0,-3699586508.0,1.0,nan,0.272727272727,43,0.272727272727,0.0185950413223,0.25,3.18845015815e-09
540.0,540.0,-1e+200,-3.71,-7.02,-540.0,-3860707689.78,nan,-3860707689.78,-3860707689.78,-3860707689.78,-3860707689.78,-3860707689.78,1.0,nan,0.272727272727,44,0.272727272727,0.0185950413223,0.25,3.18845015815e-09
540.0,720.0,-1e+200,-3.71,-7.02,-540.0,-4021306271.58,nan,-4021306271.58,-4021306271.58,-4021306271.58,-4021306271.58,-4021306271.58,1.0,nan,0.136363636364,45,0.272727272727,0.00929752066116,0.25,3.18845015815e-09
720.0,60.0,-1e+200,-3.71,-7.02,-540.0,-4540840376.37,nan,-4540840376.37,-4540840376.37,-4540840376.37,-4540840376.37,-4540840376.37,1.0,nan,0.0909090909091,46,0.136363636364,0.00309917355372,0.25,3.18845015815e-09
720.0,180.0,-1e+200,-3.71,-7.02,-540.0,-4648111626.38,nan,-4648111626.38,-4648111626.38,-4648111626.38,-4648111626.38,-4648111626.38,1.0,nan,0.227272727273,47,0.136363636364,0.0077479338843,0.25,3.18845015815e-09
720.0,360.0,-1e+200,-3.71,-7.02,-540.0,-4809217299.94,nan,-4809217299.94,-4809217299.94,-4809217299.94,-4809217299.94,-4809217299.94,1.0,nan,0.272727272727,48,0.136363636364,0.00929752066116,0.25,3.18845015815e-09
720.0,540.0,-1e+200,-3.71,-7.02,-540.0,-4969935722.79,nan,-4969935722.79,-4969935722.79,-4969935722.79,-4969935722.79,-4969935722.79,1.0,nan,0.272727272727,49,0.136363636364,0.00929752066116,0.25,3.18845015815e-09
720.0,720.0,-1e+200,-3.71,-7.02,-540.0,-5131096856.5,nan,-5131096856.5,-5131096856.5,-5131096856.5,-5131096856.5,-5131096856.5,1.0,nan,0.136363636364,50,0.136363636364,0.00464876033058,0.25,3.18845015815e-09
60.0,60.0,-1e+200,-3.71,-7.02,-360.0,-467183365.078,nan,-467183365.078,-467183365.078,-467183365.078,-467183365.078,-467183365.078,1.0,nan,0.0909090909091,51,0.0909090909091,0.00206611570248,0.25,3.18845015815e-09
60.0,180.0,-1e+200,-3.71,-7.02,-360.0,-574347766.816,nan,-574347766.816,-574347766.816,-574347766.816,-574347766.816,-574347766.816,1.0,nan,0.227272727273,52,0.0909090909091,0.0051652892562,0.25,3.18845015815e-09
60.0,360.0,-1e+200,-3.71,-7.02,-360.0,-735454196.469,nan,-735454196.469,-735454196.469,-735454196.469,-735454196.469,-735454196.469,1.0,nan,0.272727272727,53,0.0909090909091,0.00619834710744,0.25,3.18845015815e-09
60.0,540.0,-1e+200,-3.71,-7.02,-360.0,-896552191.779,nan,-896552191.779,-896552191.779,-896552191.779,-896552191.779,-896552191.779,1.0,nan,0.272727272727,54,0.0909090909091,0.00619834710744,0.25,3.18845015815e-09
60.0,720.0,-1e+200,-3.71,-7.02,-360.0,-1057041599.43,nan,-1057041599.43,-1057041599.43,-1057041599.43,-1057041599.43,-1057041599.43,1.0,nan,0.136363636364,55,0.0909090909091,0.00309917355372,0.25,3.18845015815e-09
180.0,60.0,-1e+200,-3.71,-7.02,-360.0,-1206744923.57,nan,-1206744923.57,-1206744923.57,-1206744923.57,-1206744923.57,-1206744923.57,1.0,nan,0.0909090909091,56,0.227272727273,0.0051652892562,0.25,3.18845015815e-09
180.0,180.0,-1e+200,-3.71,-7.02,-360.0,-1314081391.78,nan,-1314081391.78,-1314081391.78,-1314081391.78,-1314081391.78,-1314081391.78,1.0,nan,0.227272727273,57,0.227272727273,0.0129132231405,0.25,3.18845015815e-09
180.0,360.0,-1e+200,-3.71,-7.02,-360.0,-1475015175.87,nan,-1475015175.87,-1475015175.87,-1475015175.87,-1475015175.87,-1475015175.87,1.0,nan,0.272727272727,58,0.227272727273,0.0154958677686,0.25,3.18845015815e-09
180.0,540.0,-1e+200,-3.71,-7.02,-360.0,-1635967537.42,nan,-1635967537.42,-1635967537.42,-1635967537.42,-1635967537.42,-1635967537.42,1.0,nan,0.272727272727,59,0.227272727273,0.0154958677686,0.25,3.18845015815e-09
180.0,720.0,-1e+200,-3.71,-7.02,-360.0,-1796626709.49,nan,-1796626709.49,-1796626709.49,-1796626709.49,-1796626709.49,-1796626709.49,1.0,nan,0.136363636364,60,0.227272727273,0.0077479338843,0.25,3.18845015815e-09
360.0,60.0,-1e+200,-3.71,-7.02,-360.0,-2316237040.04,nan,-2316237040.04,-2316237040.04,-2316237040.04,-2316237040.04,-2316237040.04,1.0,nan,0.0909090909091,61,0.272727272727,0.00619834710744,0.25,3.18845015815e-09
